scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-06-2021,4505.147
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-06-2021,4504.7397
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-05-2021,4504.3496
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-05-2021,4502.9634
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-05-2021,4502.2383
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-05-2021,4501.473
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-05-2021,4501.066
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-05-2021,4499.8
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-05-2021,4499.0527
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-05-2021,4498.6006
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-05-2021,4498.0405
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-05-2021,4497.512
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-05-2021,4496.1836
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-05-2021,4495.25
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-05-2021,4494.945
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-05-2021,4494.343
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-05-2021,4493.4727
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-05-2021,4493.103
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-05-2021,4492.6504
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-05-2021,4492.1953
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-05-2021,4492.0127
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-04-2021,4490.4087
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-04-2021,4489.9033
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-04-2021,4489.476
